game_date,ssn_comp_game_no
2022-07-30,1
2022-08-06,2
2022-08-13,3
2022-08-16,4
2022-08-20,5
2022-08-27,6
2022-09-03,7
2022-09-13,8
2022-09-17,9
2022-09-24,10
2022-10-01,11
2022-10-08,12
2022-10-14,13
2022-10-22,14
2022-10-25,15
2022-10-29,16
2022-11-01,17
2022-11-12,18
2022-11-19,19
2022-12-03,20
2022-12-10,21
2022-12-26,22
2022-12-29,23
2023-01-01,24
2023-01-07,25
2023-01-14,26
2023-01-21,27
2023-01-28,28
2023-02-04,29
2023-02-11,30
2023-02-14,31
2023-02-18,32
2023-02-25,33
2023-03-04,34
2023-03-11,35
2023-03-18,36
2023-03-25,37
2023-03-31,38
2023-04-07,39
2023-04-10,40
2023-04-15,41
2023-04-18,42
2023-04-22,43
2023-04-29,44
2023-05-06,45
