season,competition,league_tier,ranking,pld,pts,manager,game_date
2023/24,League Two,4.0,22.0,7.0,3,Ian Dawes,2023-09-09
2023/24,League Two,4.0,21.0,6.0,3,Ian Dawes,2023-09-02
2023/24,League Two,4.0,21.0,5.0,3,Ian Dawes,2023-08-26
2023/24,League Two,4.0,19.0,4.0,3,Ian Dawes,2023-08-19
2023/24,League Two,4.0,17.0,3.0,3,Ian Dawes,2023-08-15
2023/24,League Two,4.0,22.0,2.0,0,Ian Dawes,2023-08-12
2023/24,League Two,4.0,17.0,1.0,0,Ian Dawes,2023-08-05
2022/23,League Two,4.0,12.0,46.0,58,Ian Dawes,2023-05-08
2022/23,League Two,4.0,11.0,45.0,58,Ian Dawes,2023-04-29
2022/23,League Two,4.0,11.0,44.0,57,Ian Dawes,2023-04-22
2022/23,League Two,4.0,13.0,43.0,54,Ian Dawes,2023-04-18
2022/23,League Two,4.0,11.0,42.0,53,Ian Dawes,2023-04-15
2022/23,League Two,4.0,11.0,41.0,53,Ian Dawes,2023-04-10
2022/23,League Two,4.0,14.0,40.0,50,Ian Dawes,2023-04-07
2022/23,League Two,4.0,13.0,39.0,50,Ian Dawes,2023-03-31
2022/23,League Two,4.0,14.0,38.0,49,Ian Dawes,2023-03-25
2022/23,League Two,4.0,14.0,37.0,48,Micky Mellon,2023-03-18
2022/23,League Two,4.0,13.0,36.0,48,Micky Mellon,2023-03-11
2022/23,League Two,4.0,12.0,35.0,48,Micky Mellon,2023-03-04
2022/23,League Two,4.0,12.0,34.0,47,Micky Mellon,2023-02-28
2022/23,League Two,4.0,13.0,33.0,44,Micky Mellon,2023-02-25
2022/23,League Two,4.0,15.0,32.0,41,Micky Mellon,2023-02-18
2022/23,League Two,4.0,12.0,31.0,41,Micky Mellon,2023-02-14
2022/23,League Two,4.0,11.0,30.0,41,Micky Mellon,2023-02-11
2022/23,League Two,4.0,15.0,29.0,38,Micky Mellon,2023-02-07
2022/23,League Two,4.0,14.0,28.0,38,Micky Mellon,2023-02-04
2022/23,League Two,4.0,13.0,27.0,38,Micky Mellon,2023-01-28
2022/23,League Two,4.0,15.0,26.0,35,Micky Mellon,2023-01-14
2022/23,League Two,4.0,15.0,25.0,34,Micky Mellon,2023-01-07
2022/23,League Two,4.0,15.0,24.0,33,Micky Mellon,2023-01-01
2022/23,League Two,4.0,14.0,23.0,33,Micky Mellon,2022-12-29
2022/23,League Two,4.0,14.0,22.0,30,Micky Mellon,2022-12-26
2022/23,League Two,4.0,15.0,21.0,27,Micky Mellon,2022-12-10
2022/23,League Two,4.0,14.0,20.0,27,Micky Mellon,2022-12-03
2022/23,League Two,4.0,12.0,19.0,26,Micky Mellon,2022-11-19
2022/23,League Two,4.0,11.0,18.0,26,Micky Mellon,2022-11-12
2022/23,League Two,4.0,10.0,17.0,25,Micky Mellon,2022-11-01
2022/23,League Two,4.0,11.0,16.0,24,Micky Mellon,2022-10-29
2022/23,League Two,4.0,9.0,15.0,24,Micky Mellon,2022-10-25
2022/23,League Two,4.0,9.0,14.0,23,Micky Mellon,2022-10-22
2022/23,League Two,4.0,6.0,13.0,22,Micky Mellon,2022-10-14
2022/23,League Two,4.0,12.0,12.0,19,Micky Mellon,2022-10-08
2022/23,League Two,4.0,11.0,11.0,16,Micky Mellon,2022-10-01
2022/23,League Two,4.0,14.0,10.0,13,Micky Mellon,2022-09-24
2022/23,League Two,4.0,14.0,9.0,10,Micky Mellon,2022-09-17
2022/23,League Two,4.0,16.0,8.0,7,Micky Mellon,2022-09-13
2022/23,League Two,4.0,16.0,7.0,7,Micky Mellon,2022-09-03
2022/23,League Two,4.0,15.0,6.0,7,Micky Mellon,2022-08-27
2022/23,League Two,4.0,17.0,5.0,4,Micky Mellon,2022-08-20
2022/23,League Two,4.0,13.0,4.0,4,Micky Mellon,2022-08-16
2022/23,League Two,4.0,15.0,3.0,3,Micky Mellon,2022-08-13
2022/23,League Two,4.0,22.0,2.0,0,Micky Mellon,2022-08-06
2022/23,League Two,4.0,17.0,1.0,0,Micky Mellon,2022-07-30
2021/22,League Two,4.0,9.0,46.0,75,Micky Mellon,2022-05-07
2021/22,League Two,4.0,9.0,45.0,72,Micky Mellon,2022-04-30
2021/22,League Two,4.0,9.0,44.0,69,Micky Mellon,2022-04-23
2021/22,League Two,4.0,7.0,43.0,69,Micky Mellon,2022-04-18
2021/22,League Two,4.0,9.0,42.0,66,Micky Mellon,2022-04-15
2021/22,League Two,4.0,9.0,41.0,65,Micky Mellon,2022-04-09
2021/22,League Two,4.0,7.0,40.0,64,Micky Mellon,2022-04-02
2021/22,League Two,4.0,7.0,39.0,63,Micky Mellon,2022-03-26
2021/22,League Two,4.0,5.0,38.0,63,Micky Mellon,2022-03-19
2021/22,League Two,4.0,4.0,37.0,62,Micky Mellon,2022-03-15
2021/22,League Two,4.0,3.0,36.0,59,Micky Mellon,2022-03-11
2021/22,League Two,4.0,6.0,35.0,56,Micky Mellon,2022-03-05
2021/22,League Two,4.0,3.0,34.0,56,Micky Mellon,2022-02-26
2021/22,League Two,4.0,2.0,33.0,56,Micky Mellon,2022-02-19
2021/22,League Two,4.0,2.0,32.0,55,Micky Mellon,2022-02-15
2021/22,League Two,4.0,2.0,31.0,55,Micky Mellon,2022-02-12
2021/22,League Two,4.0,2.0,30.0,55,Micky Mellon,2022-02-08
2021/22,League Two,4.0,2.0,29.0,52,Micky Mellon,2022-02-05
